ts,hefei,ningbo,wuhan,wuxi
930,9.89,27.88,12.43,2.96
935,9.89,27.88,12.43,2.96
940,9.89,27.88,12.43,2.96
945,9.89,27.88,12.43,2.96
950,9.89,27.88,12.43,2.96
955,9.89,27.88,12.43,2.96
960,9.89,27.88,12.43,2.96
965,9.89,27.88,12.43,2.96
970,9.89,27.88,12.43,2.96
975,9.89,27.88,12.43,2.96
980,9.89,27.88,12.43,2.96
985,9.89,27.88,12.43,2.96
990,9.89,27.88,12.43,2.96
995,9.89,27.88,12.43,2.96
1000,9.89,27.88,12.43,2.96
1005,9.89,27.88,12.43,2.96
1010,9.89,27.88,12.43,2.96
1015,9.89,27.88,12.43,2.96
1020,9.89,27.88,12.43,2.96
1025,9.89,27.88,12.43,2.96
1030,9.89,27.88,12.43,2.96
1035,9.89,27.88,12.43,2.96
1040,9.89,27.88,12.43,2.96
1045,9.89,27.88,12.43,2.96
1050,9.89,27.88,12.43,2.96
1055,9.89,27.88,12.43,2.96
1060,9.89,27.88,12.43,2.96
1065,9.89,27.88,12.43,2.96
1070,9.89,27.88,12.43,2.96
1075,9.89,27.88,12.43,2.96
1080,9.89,27.88,12.43,2.96
1085,9.89,27.88,12.43,2.96
1090,9.89,27.88,12.43,2.96
1095,9.89,27.88,12.43,2.96
1100,9.89,27.88,12.43,2.96
1105,9.89,27.88,12.43,2.96
1110,9.89,27.88,12.43,2.96
1115,9.89,27.88,12.43,2.96
1120,9.89,27.88,12.43,2.96
1125,9.89,27.88,12.43,2.96
1130,9.89,27.88,12.43,2.96
1135,9.89,27.88,12.43,2.96
1140,9.89,27.88,12.43,2.96
1145,9.89,27.88,12.43,2.96
1150,9.89,27.88,12.43,2.96
1155,9.89,27.88,12.43,2.96
1160,9.89,27.88,12.43,2.96
1165,9.89,27.88,12.43,2.96
1170,9.89,27.88,12.43,2.96
1175,9.89,27.88,12.43,2.96
1180,9.89,27.88,12.43,2.96
1185,9.89,27.88,12.43,2.96
1190,9.89,27.88,12.43,2.96
1195,9.89,27.88,12.43,2.96
1200,9.77,36.64,12.94,2.77
1205,9.77,36.64,12.94,2.77
1210,9.77,36.64,12.94,2.77
1215,9.77,36.64,12.94,2.77
1220,9.77,36.64,12.94,2.77
1225,9.77,36.64,12.94,2.77
1230,9.77,36.64,12.94,2.77
1235,9.77,36.64,12.94,2.77
1240,9.77,36.64,12.94,2.77
1245,9.77,36.64,12.94,2.77
1250,9.77,36.64,12.94,2.77
1255,9.77,36.64,12.94,2.77
1260,9.77,36.64,12.94,2.77
1265,9.77,36.64,12.94,2.77
1270,9.77,36.64,12.94,2.77
1275,9.77,36.64,12.94,2.77
1280,9.77,36.64,12.94,2.77
1285,9.77,36.64,12.94,2.77
1290,9.77,36.64,12.94,2.77
1295,9.77,36.64,12.94,2.77
1300,9.77,36.64,12.94,2.77
1305,9.77,36.64,12.94,2.77
1310,9.77,36.64,12.94,2.77
1315,9.77,36.64,12.94,2.77
1320,9.77,36.64,12.94,2.77
1325,9.77,36.64,12.94,2.77
1330,9.77,36.64,12.94,2.77
1335,9.77,36.64,12.94,2.77
1340,9.77,36.64,12.94,2.77
1345,9.77,36.64,12.94,2.77
1350,9.77,36.64,12.94,2.77
1355,9.77,36.64,12.94,2.77
1360,9.77,36.64,12.94,2.77
1365,9.77,36.64,12.94,2.77
1370,9.77,36.64,12.94,2.77
1375,9.77,36.64,12.94,2.77
1380,9.77,36.64,12.94,2.77
1385,9.77,36.64,12.94,2.77
1390,9.77,36.64,12.94,2.77
1395,9.77,36.64,12.94,2.77
1400,9.77,36.64,12.94,2.77
1405,9.77,36.64,12.94,2.77
1410,9.77,36.64,12.94,2.77
1415,9.77,36.64,12.94,2.77
1420,9.77,36.64,12.94,2.77
1425,9.77,36.64,12.94,2.77
1430,9.77,36.64,12.94,2.77
1435,9.77,36.64,12.94,2.77
1440,9.77,36.64,12.94,2.77
1445,9.77,36.64,12.94,2.77
1450,9.77,36.64,12.94,2.77
1455,9.77,36.64,12.94,2.77
1460,9.77,36.64,12.94,2.77
1465,9.77,36.64,12.94,2.77
1470,9.77,36.64,12.94,2.77
1475,9.77,36.64,12.94,2.77
1480,9.77,36.64,12.94,2.77
1485,9.77,36.64,12.94,2.77
1490,9.77,36.64,12.94,2.77
1495,9.77,36.64,12.94,2.77
1500,9.77,36.64,12.94,2.77
1505,9.77,36.64,12.94,2.77
1510,9.77,36.64,12.94,2.77
1515,9.77,36.64,12.94,2.77
1520,9.77,36.64,12.94,2.77
1525,9.77,36.64,12.94,2.77
1530,9.77,36.64,12.94,2.77
1535,9.77,36.64,12.94,2.77
1540,9.77,36.64,12.94,2.77
1545,9.77,36.64,12.94,2.77
1550,9.77,36.64,12.94,2.77
1555,9.77,36.64,12.94,2.77
1560,9.77,36.64,12.94,2.77
1565,9.77,36.64,12.94,2.77
1570,9.77,36.64,12.94,2.77
1575,9.77,36.64,12.94,2.77
1580,9.77,36.64,12.94,2.77
1585,9.77,36.64,12.94,2.77
1590,9.77,36.64,12.94,2.77
1595,9.77,36.64,12.94,2.77
1600,9.77,36.64,12.94,2.77
1605,9.77,36.64,12.94,2.77
1610,9.77,36.64,12.94,2.77
1615,9.77,36.64,12.94,2.77
1620,9.77,36.64,12.94,2.77
1625,9.77,36.64,12.94,2.77
1630,9.77,36.64,12.94,2.77
1635,9.77,36.64,12.94,2.77
1640,9.77,36.64,12.94,2.77
1645,9.77,36.64,12.94,2.77
1650,9.77,36.64,12.94,2.77
1655,9.77,36.64,12.94,2.77
1660,9.77,36.64,12.94,2.77
1665,9.77,36.64,12.94,2.77
1670,9.77,36.64,12.94,2.77
1675,9.77,36.64,12.94,2.77
1680,9.77,36.64,12.94,2.77
1685,9.77,36.64,12.94,2.77
1690,9.77,36.64,12.94,2.77
1695,9.77,36.64,12.94,2.77
1700,9.77,36.64,12.94,2.77
1705,9.77,36.64,12.94,2.77
1710,9.77,36.64,12.94,2.77
1715,9.77,36.64,12.94,2.77
1720,9.77,36.64,12.94,2.77
