ts,beijing_dongguan,beijing_nanjing,dongguan_beijing,dongguan_nanjing,nanjing_beijing,nanjing_dongguan
50,0.68,13.03,0.19,16.72,3.07,34.02
55,0.68,13.03,0.19,16.72,3.07,34.02
60,0.68,13.03,0.19,16.72,3.07,34.02
65,0.68,13.03,0.19,16.72,3.07,34.02
70,0.68,13.03,0.19,16.72,3.07,34.02
75,0.68,13.03,0.19,16.72,3.07,34.02
80,0.68,13.03,0.19,16.72,3.07,34.02
85,0.68,13.03,0.19,16.72,3.07,34.02
90,0.68,13.03,0.19,16.72,3.07,34.02
95,0.68,13.03,0.19,16.72,3.07,34.02
100,0.68,13.03,0.19,16.72,3.07,34.02
105,0.68,13.03,0.19,16.72,3.07,34.02
110,0.68,13.03,0.19,16.72,3.07,34.02
115,0.68,13.03,0.19,16.72,3.07,34.02
120,0.68,13.03,0.19,16.72,3.07,34.02
125,0.68,13.03,0.19,16.72,3.07,34.02
130,0.68,13.03,0.19,16.72,3.07,34.02
135,0.68,13.03,0.19,16.72,3.07,34.02
140,0.68,13.03,0.19,16.72,3.07,34.02
145,0.68,13.03,0.19,16.72,3.07,34.02
150,0.68,13.03,0.19,16.72,3.07,34.02
155,0.68,13.03,0.19,16.72,3.07,34.02
160,0.68,13.03,0.19,16.72,3.07,34.02
165,0.68,13.03,0.19,16.72,3.07,34.02
170,0.68,13.03,0.19,16.72,3.07,34.02
175,0.68,13.03,0.19,16.72,3.07,34.02
180,0.68,13.03,0.19,16.72,3.07,34.02
185,0.68,13.03,0.19,16.72,3.07,34.02
190,0.68,13.03,0.19,16.72,3.07,34.02
195,0.68,13.03,0.19,16.72,3.07,34.02
200,0.68,13.03,0.19,16.72,3.07,34.02
205,0.68,13.03,0.19,16.72,3.07,34.02
210,0.68,13.03,0.19,16.72,3.07,34.02
215,0.68,13.03,0.19,16.72,3.07,34.02
220,0.68,13.03,0.19,16.72,3.07,34.02
225,0.68,13.03,0.19,16.72,3.07,34.02
230,0.68,13.03,0.19,16.72,3.07,34.02
235,0.68,13.03,0.19,16.72,3.07,34.02
240,0.68,13.03,0.19,16.72,3.07,34.02
245,0.68,13.03,0.19,16.72,3.07,34.02
250,0.68,13.03,0.19,16.72,3.07,34.02
255,0.68,13.03,0.19,16.72,3.07,34.02
260,0.68,13.03,0.19,16.72,3.07,34.02
265,0.68,13.03,0.19,16.72,3.07,34.02
270,0.68,13.03,0.19,16.72,3.07,34.02
275,0.68,13.03,0.19,16.72,3.07,34.02
280,0.68,13.03,0.19,16.72,3.07,34.02
285,0.68,13.03,0.19,16.72,3.07,34.02
290,0.68,13.03,0.19,16.72,3.07,34.02
295,0.68,13.03,0.19,16.72,3.07,34.02
300,0.68,13.03,0.19,16.72,3.07,34.02
305,0.68,13.03,0.19,16.72,3.07,34.02
310,0.68,13.03,0.19,16.72,3.07,34.02
315,0.68,13.03,0.19,16.72,3.07,34.02
320,0.68,13.03,0.19,16.72,3.07,34.02
325,0.68,13.03,0.19,16.72,3.07,34.02
330,0.68,13.03,0.19,16.72,3.07,34.02
335,0.68,13.03,0.19,16.72,3.07,34.02
340,0.68,13.03,0.19,16.72,3.07,34.02
345,0.68,13.03,0.19,16.72,3.07,34.02
350,0.68,13.03,0.19,16.72,3.07,34.02
355,0.68,13.03,0.19,16.72,3.07,34.02
360,0.68,13.03,0.19,16.72,3.07,34.02
365,0.68,13.03,0.19,16.72,3.07,34.02
370,0.68,13.03,0.19,16.72,3.07,34.02
375,0.68,13.03,0.19,16.72,3.07,34.02
380,0.68,13.03,0.19,16.72,3.07,34.02
385,0.68,13.03,0.19,16.72,3.07,34.02
390,0.68,13.03,0.19,16.72,3.07,34.02
395,0.68,13.03,0.19,16.72,3.07,34.02
400,0.68,13.03,0.19,16.72,3.07,34.02
405,0.68,13.03,0.19,16.72,3.07,34.02
410,0.68,13.03,0.19,16.72,3.07,34.02
415,0.68,13.03,0.19,16.72,3.07,34.02
420,0.68,13.03,0.19,16.72,3.07,34.02
425,0.68,13.03,0.19,16.72,3.07,34.02
430,0.68,13.03,0.19,16.72,3.07,34.02
435,0.68,13.03,0.19,16.72,3.07,34.02
440,0.68,13.03,0.19,16.72,3.07,34.02
445,0.68,13.03,0.19,16.72,3.07,34.02
450,0.68,13.03,0.19,16.72,3.07,34.02
455,0.68,13.03,0.19,16.72,3.07,34.02
460,0.68,13.03,0.19,16.72,3.07,34.02
465,0.68,13.03,0.19,16.72,3.07,34.02
470,0.68,13.03,0.19,16.72,3.07,34.02
475,0.68,13.03,0.19,16.72,3.07,34.02
480,0.68,13.03,0.19,16.72,3.07,34.02
485,0.68,13.03,0.19,16.72,3.07,34.02
490,0.68,13.03,0.19,16.72,3.07,34.02
495,0.68,13.03,0.19,16.72,3.07,34.02
500,0.68,13.03,0.19,16.72,3.07,34.02
505,0.68,13.03,0.19,16.72,3.07,34.02
510,0.68,13.03,0.19,16.72,3.07,34.02
515,0.68,13.03,0.19,16.72,3.07,34.02
520,0.68,13.03,0.19,16.72,3.07,34.02
525,0.68,13.03,0.19,16.72,3.07,34.02
530,0.68,13.03,0.19,16.72,3.07,34.02
535,0.68,13.03,0.19,16.72,3.07,34.02
540,0.68,13.03,0.19,16.72,3.07,34.02
545,0.68,13.03,0.19,16.72,3.07,34.02
550,0.68,13.03,0.19,16.72,3.07,34.02
555,0.68,13.03,0.19,16.72,3.07,34.02
560,0.68,13.03,0.19,16.72,3.07,34.02
565,0.68,13.03,0.19,16.72,3.07,34.02
570,0.68,13.03,0.19,16.72,3.07,34.02
575,0.68,13.03,0.19,16.72,3.07,34.02
580,0.68,13.03,0.19,16.72,3.07,34.02
585,0.68,13.03,0.19,16.72,3.07,34.02
590,0.68,13.03,0.19,16.72,3.07,34.02
595,0.68,13.03,0.19,16.72,3.07,34.02
600,0.67,12.73,0.19,16.7,3.51,34.17
605,0.67,12.73,0.19,16.7,3.51,34.17
610,0.67,12.73,0.19,16.7,3.51,34.17
615,0.67,12.73,0.19,16.7,3.51,34.17
620,0.67,12.73,0.19,16.7,3.51,34.17
625,0.67,12.73,0.19,16.7,3.51,34.17
630,0.67,12.73,0.19,16.7,3.51,34.17
635,0.67,12.73,0.19,16.7,3.51,34.17
640,0.67,12.73,0.19,16.7,3.51,34.17
645,0.67,12.73,0.19,16.7,3.51,34.17
650,0.67,12.73,0.19,16.7,3.51,34.17
655,0.67,12.73,0.19,16.7,3.51,34.17
660,0.67,12.73,0.19,16.7,3.51,34.17
665,0.67,12.73,0.19,16.7,3.51,34.17
670,0.67,12.73,0.19,16.7,3.51,34.17
675,0.67,12.73,0.19,16.7,3.51,34.17
680,0.67,12.73,0.19,16.7,3.51,34.17
685,0.67,12.73,0.19,16.7,3.51,34.17
690,0.67,12.73,0.19,16.7,3.51,34.17
695,0.67,12.73,0.19,16.7,3.51,34.17
700,0.67,12.73,0.19,16.7,3.51,34.17
705,0.67,12.73,0.19,16.7,3.51,34.17
710,0.67,12.73,0.19,16.7,3.51,34.17
715,0.67,12.73,0.19,16.7,3.51,34.17
720,0.67,12.73,0.19,16.7,3.51,34.17
725,0.67,12.73,0.19,16.7,3.51,34.17
730,0.67,12.73,0.19,16.7,3.51,34.17
735,0.67,12.73,0.19,16.7,3.51,34.17
740,0.67,12.73,0.19,16.7,3.51,34.17
745,0.67,12.73,0.19,16.7,3.51,34.17
750,0.67,12.73,0.19,16.7,3.51,34.17
755,0.67,12.73,0.19,16.7,3.51,34.17
760,0.67,12.73,0.19,16.7,3.51,34.17
765,0.67,12.73,0.19,16.7,3.51,34.17
770,0.67,12.73,0.19,16.7,3.51,34.17
775,0.67,12.73,0.19,16.7,3.51,34.17
780,0.67,12.73,0.19,16.7,3.51,34.17
785,0.67,12.73,0.19,16.7,3.51,34.17
790,0.67,12.73,0.19,16.7,3.51,34.17
795,0.67,12.73,0.19,16.7,3.51,34.17
800,0.67,12.73,0.19,16.7,3.51,34.17
805,0.67,12.73,0.19,16.7,3.51,34.17
810,0.67,12.73,0.19,16.7,3.51,34.17
815,0.67,12.73,0.19,16.7,3.51,34.17
820,0.67,12.73,0.19,16.7,3.51,34.17
825,0.67,12.73,0.19,16.7,3.51,34.17
830,0.67,12.73,0.19,16.7,3.51,34.17
835,0.67,12.73,0.19,16.7,3.51,34.17
840,0.67,12.73,0.19,16.7,3.51,34.17
845,0.67,12.73,0.19,16.7,3.51,34.17
850,0.67,12.73,0.19,16.7,3.51,34.17
855,0.67,12.73,0.19,16.7,3.51,34.17
860,0.67,12.73,0.19,16.7,3.51,34.17
865,0.67,12.73,0.19,16.7,3.51,34.17
870,0.67,12.73,0.19,16.7,3.51,34.17
875,0.67,12.73,0.19,16.7,3.51,34.17
880,0.67,12.73,0.19,16.7,3.51,34.17
885,0.67,12.73,0.19,16.7,3.51,34.17
890,0.67,12.73,0.19,16.7,3.51,34.17
895,0.67,12.73,0.19,16.7,3.51,34.17
900,0.67,12.73,0.19,16.7,3.51,34.17
905,0.67,12.73,0.19,16.7,3.51,34.17
910,0.67,12.73,0.19,16.7,3.51,34.17
915,0.67,12.73,0.19,16.7,3.51,34.17
920,0.67,12.73,0.19,16.7,3.51,34.17
925,0.67,12.73,0.19,16.7,3.51,34.17
930,0.67,12.73,0.19,16.7,3.51,34.17
935,0.67,12.73,0.19,16.7,3.51,34.17
940,0.67,12.73,0.19,16.7,3.51,34.17
945,0.67,12.73,0.19,16.7,3.51,34.17
950,0.67,12.73,0.19,16.7,3.51,34.17
955,0.67,12.73,0.19,16.7,3.51,34.17
960,0.67,12.73,0.19,16.7,3.51,34.17
965,0.67,12.73,0.19,16.7,3.51,34.17
970,0.67,12.73,0.19,16.7,3.51,34.17
975,0.67,12.73,0.19,16.7,3.51,34.17
980,0.67,12.73,0.19,16.7,3.51,34.17
985,0.67,12.73,0.19,16.7,3.51,34.17
990,0.67,12.73,0.19,16.7,3.51,34.17
995,0.67,12.73,0.19,16.7,3.51,34.17
1000,0.67,12.73,0.19,16.7,3.51,34.17
1005,0.67,12.73,0.19,16.7,3.51,34.17
1010,0.67,12.73,0.19,16.7,3.51,34.17
1015,0.67,12.73,0.19,16.7,3.51,34.17
1020,0.67,12.73,0.19,16.7,3.51,34.17
