ts,changsha,foshan,fuzhou,guangzhou,guiyang,kunming,nanchang,nanning,xiamen
500,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
505,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
510,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
515,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
520,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
525,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
530,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
535,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
540,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
545,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
550,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
555,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
560,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
565,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
570,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
575,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
580,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
585,0.65,0.06,0.24,11.35,1.12,12.56,0.04,2.71,4.38
